release_id,title,release_type,release_date,catalog_number,notes,source_url,created_at,updated_at
L00001,3rdアルバム「terzo」,album,2022-04-20,HKCN-50700,初回生産限定盤A（2CD＋Blu-ray）,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
L00002,3rdアルバム「terzo」,album,2022-04-20,HKCN-50703,初回生産限定盤B（2CD＋Blu-ray）,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
L00003,3rdアルバム「terzo」,album,2022-04-20,HKCN-50706,通常盤（2CD）,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
L00004,微炭酸／ポツリと／Good bye & Good luck！,single,2019-02-13,HKCN-50580,初回生産限定盤A,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-26T16:43:46+00:00,2026-09-26T16:43:46+00:00
L00005,微炭酸／ポツリと／Good bye & Good luck！,single,2019-02-13,HKCN-50582,初回生産限定盤B,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-26T16:43:46+00:00,2026-09-26T16:43:46+00:00
L00006,微炭酸／ポツリと／Good bye & Good luck！,single,2019-02-13,HKCN-50584,初回生産限定盤C,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-26T16:43:46+00:00,2026-09-26T16:43:46+00:00
L00007,微炭酸／ポツリと／Good bye & Good luck！,single,2019-02-13,HKCN-50586,初回生産限定盤SP,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-26T16:43:46+00:00,2026-09-26T16:43:46+00:00
L00008,微炭酸／ポツリと／Good bye & Good luck！,single,2019-02-13,HKCN-50588,通常盤A,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-26T16:43:46+00:00,2026-09-26T16:43:46+00:00
L00009,微炭酸／ポツリと／Good bye & Good luck！,single,2019-02-13,HKCN-50589,通常盤B,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-26T16:43:46+00:00,2026-09-26T16:43:46+00:00
L00010,微炭酸／ポツリと／Good bye & Good luck！,single,2019-02-13,HKCN-50590,通常盤C,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-26T16:43:46+00:00,2026-09-26T16:43:46+00:00
L00011,「ひとりで生きられそう」って それってねえ、褒めているの？／25歳永遠説,single,2019-06-05,HKCN-50610,初回生産限定盤A,https://helloproject.com/release/detail/HKCN-50610/?pc=1,2026-09-26T17:30:00+00:00,2026-09-26T17:30:00+00:00
L00012,「ひとりで生きられそう」って それってねえ、褒めているの？／25歳永遠説,single,2019-06-05,HKCN-50612,初回生産限定盤B,https://helloproject.com/release/detail/HKCN-50610/?pc=1,2026-09-26T17:30:00+00:00,2026-09-26T17:30:00+00:00
L00013,「ひとりで生きられそう」って それってねえ、褒めているの？／25歳永遠説,single,2019-06-05,HKCN-50614,通常盤A,https://helloproject.com/release/detail/HKCN-50610/?pc=1,2026-09-26T17:30:00+00:00,2026-09-26T17:30:00+00:00
L00014,「ひとりで生きられそう」って それってねえ、褒めているの？／25歳永遠説,single,2019-06-05,HKCN-50615,通常盤B,https://helloproject.com/release/detail/HKCN-50610/?pc=1,2026-09-26T17:30:00+00:00,2026-09-26T17:30:00+00:00
L00015,「ひとりで生きられそう」って それってねえ、褒めているの？／25歳永遠説,single,2019-06-05,HKCN-50616,通常盤C,https://helloproject.com/release/detail/HKCN-50610/?pc=1,2026-09-26T17:30:00+00:00,2026-09-26T17:30:00+00:00
