song_id,work_id,title,version_name,version_type,release_date,notes,source_url,created_at,updated_at
J00001,W00001,微炭酸,,original,2019-02-13,2019-02-13「微炭酸／ポツリと／Good bye & Good luck！」収録音源とterzo収録音源を同一音源として扱う（ユーザー確定判断）。,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-25T07:31:25+00:00,2026-09-26T16:43:46+00:00
J00002,W00002,ポツリと,,original,2019-02-13,2019-02-13「微炭酸／ポツリと／Good bye & Good luck！」収録音源とterzo収録音源を同一音源として扱う（ユーザー確定判断）。,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-25T07:31:25+00:00,2026-09-26T16:43:46+00:00
J00003,W00003,Good bye & Good luck！,,original,2019-02-13,2019-02-13「微炭酸／ポツリと／Good bye & Good luck！」収録音源とterzo収録音源を同一音源として扱う（ユーザー確定判断）。,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-25T07:31:25+00:00,2026-09-26T16:43:46+00:00
J00004,W00004,「ひとりで生きられそう」って それってねえ、褒めているの？,,original,2019-06-05,2019-06-05シングル収録音源とterzo収録音源は公式上いずれもVersion表記がなく、同一音源として扱う。,https://helloproject.com/release/detail/HKCN-50610/?pc=1,2026-09-25T07:31:25+00:00,2026-09-26T17:30:00+00:00
J00005,W00005,25歳永遠説,,original,2019-06-05,2019-06-05シングル収録音源とterzo収録音源は公式上いずれもVersion表記がなく、同一音源として扱う。,https://helloproject.com/release/detail/HKCN-50610/?pc=1,2026-09-25T07:31:25+00:00,2026-09-26T17:30:00+00:00
J00006,W00004,「ひとりで生きられそう」って それってねえ、褒めているの？(New Vocal Ver.),New Vocal Ver.,new_vocal,,公式のNew Vocal Ver.表記に基づく。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00007,W00006,ポップミュージック,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00008,W00007,好きって言ってよ,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00009,W00008,Borderline,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00010,W00009,Va-Va-Voom,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00011,W00010,続いていくSTORY (Symphonic Version feat. Karin),Symphonic Version feat. Karin,other,,version_typeの具体分類およびKarin=宮本佳林はユーザー確認により確定。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00012,W00011,DOWN TOWN,,cover,,カバー判定はユーザー確認により確定。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00013,W00012,がんばれないよ,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00014,W00013,プラスティック・ラブ,,cover,,カバー判定はユーザー確認により確定。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00015,W00014,Familia,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00016,W00015,Future Smile,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00017,W00016,GIRLS BE AMBITIOUS! 2022,2022,other,,公式Version名を保持。具体的な変更種別は公式情報で未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00018,W00017,POPPIN' LOVE,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00019,W00018,STAGE～アガッてみな～,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00020,W00019,Mon Amour,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00021,W00020,ノクチルカ,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00022,W00021,G.O.A.T.,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
J00023,W00022,雨の中の口笛,,original,,初出日および過去release収録音源との同一性は未確認。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
